Title,Organization,Skills,Platform
Introduction to Data Science,IBM," data science, python programming, data analysis, data management, r programming, computer programming, data mining, data structures, database administration, database application, database theory, databases, sql, data model, machine learning, statistical machine learning, big data, cloud computing, deep learning, ibm cloud, regression, writing",Coursera
Data Science Fundamentals with Python and SQL,IBM," python programming, data analysis, general statistics, probability & statistics, basic descriptive statistics, statistical analysis, statistical tests, mathematical theory & analysis, statistical programming, computer programming, data visualization, data science, plot (graphics), r programming, data management, data structures, database administration, database application, database theory, databases, sql, cloud computing, ibm cloud",Coursera
IBM Data Engineering,IBM," data management, databases, database administration, extract, transform, load, python programming, big data, sql, apache, database design, distributed computing architecture, data architecture, database application, nosql, data structures, data model, data warehousing, cloud computing, database theory, data engineering, data visualization, computer programming, ibm cloud, data mining, machine learning, cloud applications, data analysis, leadership and management, kubernetes, postgresql, devops tools, business intelligence, data visualization software, linux, network security, statistical programming, data science",Coursera
Key Technologies for Business,IBM," algorithms, applied machine learning, artificial neural networks, computer vision, deep learning, human learning, machine learning, machine learning algorithms, machine learning software, cloud computing, data science, critical thinking, big data, data analysis, data mining, cloud applications, cloud infrastructure, cloud platforms, cloud storage, devops, ibm cloud, regression, writing",Coursera
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation," business analysis, business transformation, strategy, cloud computing, data analysis, strategy and operations, applied machine learning, entrepreneurship, leadership and management, algorithms, artificial neural networks, computer vision, deep learning, human learning, innovation, machine learning, machine learning algorithms, machine learning software, marketing, sales, data visualization, research and design, critical thinking, business design, business development, customer analysis, product strategy, market analysis, data management, data mining, databases, python programming, sql, cloud applications, cloud infrastructure, cloud platforms, cloud storage, data science, devops, ibm cloud, nosql, r programming, microsoft excel",Coursera
Deep Learning,DeepLearning.AI," machine learning, deep learning, artificial neural networks, machine learning algorithms, applied machine learning, python programming, machine learning software, network model, algorithms, computer programming, computer vision, network architecture, natural language processing, tensorflow, human learning, data analysis, data model, exploratory data analysis, organizational development, process analysis, strategy, computational logic, mathematics, mathematical theory & analysis, linear algebra, regression, calculus",Coursera
Data Engineering Foundations,IBM," data management, python programming, data structures, databases, data engineering, database application, sql, database administration, database design, extract, transform, load, computer programming, data architecture, database theory, data mining, data model, data analysis, leadership and management, data warehousing, postgresql, big data, ibm cloud, network security, nosql, cloud computing, data science",Coursera
Applied Data Science,IBM," python programming, data analysis, machine learning, algorithms, computer programming, data science, data visualization, exploratory data analysis, general statistics, machine learning algorithms, plot (graphics), probability & statistics, regression, statistical programming",Coursera
IBM Back-End Development,IBM," application development, software engineering, python programming, computer programming, software architecture, devops, software engineering tools, cloud applications, cloud computing, security engineering, programming principles, web development, cloud infrastructure, cloud-based integration, microarchitecture, agile software development, communication, ibm cloud, kubernetes, software security, data management, database application, databases, docker (software), linux, sql, software-defined networking, technical product management, collaboration, django (web framework), leadership and management, data analysis, mergers & acquisitions",Coursera
IBM AI Foundations for Business,IBM," machine learning, data analysis, applied machine learning, data management, leadership and management, machine learning algorithms, algorithms, artificial neural networks, business process management, computer vision, data architecture, deep learning, human learning, machine learning software, data science, strategy and operations, critical thinking, business analysis, business transformation, strategy, big data, data mining, innovation, regression, writing",Coursera
IBM Data Analytics with Excel and R,IBM," data analysis, r programming, computer programming, data visualization, data management, statistical programming, databases, plot (graphics), exploratory data analysis, statistical visualization, data analysis software, data structures, statistical analysis, microsoft excel, sql, basic descriptive statistics, general statistics, interactive data visualization, database application, extract, transform, load, spreadsheet software, visualization (computer graphics), programming principles, regression, database administration, database design, database theory, computer programming tools, data mining, data visualization software, statistical machine learning, visual design, probability & statistics, system programming, business analysis, python programming, data science, nosql",Coursera
Data Analysis and Visualization Foundations,IBM," microsoft excel, data visualization, spreadsheet software, data analysis, plot (graphics), databases, python programming, sql, statistical visualization, business analysis, data management, data mining, data science, interactive data visualization, nosql, r programming, data visualization software",Coursera
Applied Software Engineering Fundamentals,IBM," python programming, computer programming, software engineering, application development, programming principles, software architecture, software engineering tools, agile software development, communication, software-defined networking, technical product management, collaboration, leadership and management, linux, data analysis, mergers & acquisitions",Coursera
Prompt Engineering,Vanderbilt University," creativity, data analysis, problem solving, writing",Coursera
AI Foundations for Everyone,IBM," human learning, machine learning, artificial neural networks, deep learning, machine learning algorithms, human computer interaction, natural language processing, algorithms, applied machine learning, cloud computing, computer vision, ibm cloud, machine learning software, critical thinking, cloud api, computer programming, data science",Coursera
Generative AI with Large Language Models,DeepLearning.AI," machine learning, natural language processing, python programming",Coursera
Cloud Application Development Foundations,IBM," cloud computing, cloud applications, ibm cloud, javascript, cloud infrastructure, cloud platforms, devops, cloud management, computer programming, web development, cloud api, cloud storage, continuous integration, software as a service, continuous delivery, nosql, computer science, front-end web development, react (web framework)",Coursera
"DevOps, Cloud, and Agile Foundations",IBM," devops, cloud computing, software engineering, agile software development, continuous delivery, continuous integration, scrum (software development), cloud applications, cloud infrastructure, cloud platforms, cloud storage, ibm cloud, leadership and management",Coursera
Google Advanced Data Analytics,Google," communication, computer programming, data analysis, data visualization, exploratory data analysis, general statistics, machine learning, planning, probability distribution, project management, python programming, regression, statistical analysis, tableau software",Coursera
IBM and ISC2 Cybersecurity Specialist,Multiple educators," computer security incident management, leadership and management, cloud computing, system security, computer networking, risk management, cloud storage, operating systems, network security, cloud platforms, network architecture, networking hardware, cloud applications, cloud infrastructure, computer programming, cyberattacks, databases, devops, security engineering, cryptography, ibm cloud, operations management, software engineering",Coursera
IBM IT Support,IBM," customer success, cloud computing, computer networking, strategy and operations, operating systems, cloud storage, cloud applications, leadership and management, system security, customer support, communication, computer programming, cyberattacks, cloud infrastructure, cloud platforms, databases, devops, networking hardware, cryptography, ibm cloud, information technology, network architecture, network security, security engineering, software engineering",Coursera
Business Intelligence (BI) Analyst,IBM," data management, databases, sql, data visualization, database administration, database application, database design, microsoft excel, data structures, data architecture, database theory, spreadsheet software, data model, data warehousing, python programming, computer programming, data analysis, nosql, postgresql, professional development, plot (graphics), business analysis, statistical visualization, data mining, data science, data visualization software, r programming, business intelligence, forecasting, interactive data visualization, statistical analysis",Coursera
Meta Front-End Developer,Meta," html and css, javascript, front-end web development, react (web framework), web development, user experience, algorithms, computer science, web design, application development, computer programming, software engineering, web development tools, collaboration, communication, data structures, human computer interaction, interactive design, linux, problem solving, product design, software engineering tools, software testing",Coursera
Generative AI Fundamentals,IBM," machine learning, natural language processing",Coursera
Information Technology (IT) and Cloud Fundamentals,IBM," cloud computing, computer networking, operating systems, cloud storage, system security, cloud applications, cyberattacks, cloud infrastructure, cloud platforms, databases, devops, networking hardware, computer programming, cryptography, ibm cloud, network architecture, network security, security engineering, software engineering",Coursera
Microsoft Power BI Data Analyst,Microsoft," data analysis, data management, data mining, data model, data visualization, extract, transform, load, microsoft excel, power bi, sql",Coursera
Generative AI for Everyone,DeepLearning.AI," strategy, writing",Coursera
IBM AI Engineering,IBM," machine learning, deep learning, artificial neural networks, human learning, python programming, machine learning algorithms, applied machine learning, algorithms, machine learning software, regression, network model, statistical machine learning, computer vision, apache, big data, computer programming, data analysis, network architecture, extract, transform, load, data visualization, tensorflow, visualization (computer graphics), dimensionality reduction, natural language processing, data science",Coursera
IBM IT Project Manager,IBM," software engineering, agile software development, computer programming, software engineering tools, application development, programming principles, software architecture, communication, cloud applications, scrum (software development), software-defined networking, technical product management, leadership and management, project management, cloud computing, ibm cloud, information technology, operating systems, python programming, risk management",Coursera
IBM Data Warehouse Engineer,IBM," data management, database administration, databases, sql, database application, extract, transform, load, data warehousing, data structures, database design, data engineering, computer programming, data analysis, data architecture, database theory, apache, python programming, leadership and management, professional development, big data, data model, distributed computing architecture, business analysis, postgresql, devops tools, cloud computing, linux, ibm cloud, network security, nosql, business intelligence, data science",Coursera
Generative AI for Software Developers,IBM," natural language processing, software engineering",Coursera
Generative AI for Data Scientists,IBM," data analysis, data science, natural language processing",Coursera
Foundations of Cybersecurity,Google," linux, computer programming, leadership and management, sql",Coursera
Foundations of Project Management,Google," project management, strategy and operations, business communication, change management, organizational development, communication, culture, emotional intelligence, influencing, leadership and management, people management, planning",Coursera
Supervised Machine Learning: Regression and Classification,DeepLearning.AI," machine learning, machine learning algorithms, regression, applied machine learning, algorithms, statistical machine learning, mathematics, critical thinking, machine learning software, python programming",Coursera
"BI Foundations with SQL, ETL and Data Warehousing",IBM," data management, extract, transform, load, data warehousing, database administration, apache, computer programming, python programming, data analysis, data structures, databases, big data, database application, distributed computing architecture, cloud computing, database theory, devops tools, leadership and management, linux, sql, business intelligence, ibm cloud",Coursera
"Foundations: Data, Data, Everywhere",Google," data analysis, sql, data visualization, business analysis, spreadsheet software, data science, databases, microsoft excel",Coursera
Mathematics for Machine Learning and Data Science,DeepLearning.AI," mathematics, algebra, linear algebra, machine learning, machine learning algorithms, calculus, differential equations, regression, artificial neural networks, mathematical theory & analysis, python programming, algorithms, critical thinking, dimensionality reduction, general statistics, probability & statistics, statistical analysis",Coursera
IBM Full-Stack JavaScript Developer,IBM," software engineering, computer programming, software architecture, application development, software engineering tools, cloud applications, cloud computing, communication, devops, programming principles, web development, agile software development, cloud infrastructure, cloud-based integration, ibm cloud, kubernetes, microarchitecture, javascript, continuous delivery, docker (software), front-end web development, leadership and management, software-defined networking, technical product management, collaboration, continuous integration, computer science, mergers & acquisitions, nosql, python programming, react (web framework)",Coursera
Business Foundations,University of Pennsylvania," accounting, finance, general accounting, financial accounting, strategy and operations, account management, accounts payable and receivable, cost accounting, leadership and management, strategy, cash management, communication, financial analysis, generally accepted accounting principles (gaap), marketing, brand management, budget management, customer analysis, market analysis, marketing design, product marketing, product strategy, entrepreneurship, human resources, people analysis, performance management, business analysis, digital marketing, estimation, mathematical theory & analysis, change management, organizational development, people management, talent management, planning, operations management",Coursera
Google IT Automation with Python,Google," cloud computing, cloud platforms, collaboration, computer programming, data structures, google cloud platform, leadership and management, problem solving, python programming",Coursera
AI For Everyone,DeepLearning.AI," data science, deep learning, machine learning, artificial neural networks, business transformation, human learning, planning, project management",Coursera
IBM IT Scrum Master,IBM," devops, software engineering, computer programming, agile software development, programming principles, software engineering tools, application development, software architecture, communication, continuous delivery, cloud applications, continuous integration, scrum (software development), software-defined networking, technical product management, leadership and management, project management, cloud computing, ibm cloud, information technology, operating systems, python programming",Coursera
Python for Everybody,University of Michigan," computer programming, python programming, computer programming tools, programming principles, data structures, computational thinking, computational logic, data analysis, software engineering, algorithms, critical thinking, problem solving, data architecture, data management, databases, theoretical computer science, database administration, data model, data visualization, database design, database theory, web development, web development tools, computer networking, extract, transform, load, sql, html and css",Coursera
IBM Project Manager,IBM," software engineering, agile software development, scrum (software development), business analysis, communication, leadership and management, project management, risk management",Coursera
IBM Applied DevOps Engineering,IBM," devops, software engineering, cloud computing, continuous delivery, continuous integration, application development, cloud applications, software architecture, security engineering, computer programming, kubernetes, cloud infrastructure, cloud-based integration, microarchitecture, software testing, agile software development, ibm cloud, docker (software), scrum (software development), software security, leadership and management",Coursera
AI in Healthcare,Stanford University," machine learning, leadership and management, data analysis, critical thinking, data mining",Coursera
IBM Front-End Developer,IBM," cloud applications, software engineering, computer programming, application development, cloud computing, ibm cloud, programming principles, software engineering tools, web development, agile software development, cloud api, cloud infrastructure, cloud management, cloud platforms, communication, devops, software architecture, continuous integration, software as a service, cloud storage, continuous delivery, front-end web development, leadership and management, software-defined networking, technical product management, collaboration, javascript, nosql, mergers & acquisitions, python programming, react (web framework), strategy, user experience",Coursera
IBM Cybersecurity Analyst,IBM," cryptography, python programming, linux, network security, security strategy, software security, system software, computer security incident management, networking hardware, security software, cloud computing, cyberattacks, devops, mobile security, computer programming, databases, leadership and management, operating systems, sql, system security",Coursera
IBM Back-end JavaScript Developer,IBM," software engineering, computer programming, software architecture, application development, software engineering tools, cloud applications, cloud computing, communication, devops, programming principles, web development, agile software development, cloud infrastructure, cloud-based integration, ibm cloud, kubernetes, microarchitecture, javascript, continuous delivery, docker (software), leadership and management, software-defined networking, technical product management, collaboration, continuous integration, computer science, mergers & acquisitions, nosql, python programming",Coursera
Meta Social Media Marketing,Meta," marketing, digital marketing, social media, advertising, communication, media strategy & planning, marketing management, customer analysis, brand management, business analysis, marketing design, sales, strategy and operations, data analysis, general statistics, market analysis, probability & statistics, leadership and management, research and design, planning, entrepreneurship",Coursera
Meta React Native,Meta," react (web framework), javascript, mobile development, mobile development tools, web development, html and css, front-end web development, web development tools, application development, computer programming, user experience, web design, software engineering tools, sql, software engineering, agile software development, collaboration, data management, human computer interaction, interactive design, linux, product design, product lifecycle, project management",Coursera
Finance & Quantitative Modeling for Analysts,University of Pennsylvania," finance, business analysis, data analysis, financial analysis, accounting, forecasting, financial management, general accounting, general statistics, statistical analysis, financial accounting, mathematical theory & analysis, accounts payable and receivable, probability & statistics, basic descriptive statistics, cost accounting, data model, mathematics, regression, estimation, management accounting, statistical tests, budget management, microsoft excel, spreadsheet software, leadership and management, entrepreneurship, computer programming",Coursera
Technical Support Fundamentals,Google," communication, computer architecture, computer networking, customer support, networking hardware",Coursera
Natural Language Processing,DeepLearning.AI," natural language processing, machine learning, python programming, statistical programming, artificial neural networks, deep learning, probability & statistics, statistical machine learning, machine learning algorithms, applied machine learning, computer programming, human learning, linear algebra",Coursera
DeepLearning.AI TensorFlow Developer,DeepLearning.AI," machine learning, tensorflow, deep learning, machine learning algorithms, artificial neural networks, applied machine learning, human learning, computer programming, python programming, machine learning software, natural language processing, computer vision, forecasting, data visualization, statistical machine learning, statistical analysis",Coursera
Introduction to Finance and Accounting,University of Pennsylvania," accounting, finance, financial accounting, general accounting, financial analysis, generally accepted accounting principles (gaap), accounts payable and receivable, cost accounting, account management, cash management, estimation, decision making, investment management, taxes, budget management, management accounting, problem solving, business analysis, mathematical theory & analysis, mathematics, entrepreneurship",Coursera
IT Fundamentals for Cybersecurity,IBM," cryptography, network security, linux, networking hardware, security software, system software, cloud computing, cyberattacks, databases, leadership and management, operating systems, sql, system security",Coursera
Foundations of Digital Marketing and E-commerce,Google," digital marketing, marketing, e-commerce, strategy, data analysis, social media",Coursera
Machine Learning Engineering for Production (MLOps),DeepLearning.AI," machine learning, applied machine learning, tensorflow, python programming, statistical programming, devops, devops tools, exploratory data analysis, feature engineering, machine learning software, probability & statistics, cloud computing, deep learning, google cloud platform, performance management, strategy and operations, kubernetes, leadership and management",Coursera
Meta Back-End Developer,Meta," python programming, databases, html and css, sql, database design, programming principles, algorithms, computer science, big data, react (web framework), software testing, web development, application development, back-end web development, cloud api, cloud computing, cloud infrastructure, collaboration, communication, computer programming, data model, data structures, data warehousing, database administration, database application, database theory, devops, django (web framework), front-end web development, full-stack web development, javascript, kubernetes, linux, problem solving, semantic web, software engineering, software engineering tools, statistical programming, tensorflow, web design, web development tools",Coursera
Intuit Academy Bookkeeping,Intuit," accounting, general accounting, financial accounting, business analysis, data analysis, financial analysis, cash management, finance, financial management, accounts payable and receivable, cost accounting, inventory management, accounting software, taxes",Coursera
Meta iOS Developer,Meta," mobile development, swift programming, ios development, computer programming, mobile development tools, react (web framework), application development, software engineering, data structures, user experience, user experience design, web development, computer programming tools, software engineering tools, front-end web development, algorithms, computer science, interactive design, javascript, collaboration, communication, data management, django (web framework), human computer interaction, linux, problem solving, product design, software architecture, web design",Coursera
Meta Android Developer,Meta," mobile development, computer programming, react (web framework), mobile development tools, application development, software engineering, android development, other programming languages, web development, user experience, algorithms, computer science, front-end web development, javascript, programming principles, cloud api, collaboration, communication, data management, data structures, databases, human computer interaction, interactive design, linux, problem solving, product design, software architecture, software engineering tools, swift programming, web design",Coursera
Prompt Engineering for ChatGPT,Vanderbilt University," creativity, problem solving, writing",Coursera
Play It Safe: Manage Security Risks,Google," audit, leadership and management, risk management",Coursera
AI For Business,University of Pennsylvania," machine learning, machine learning algorithms, applied machine learning, data analysis, algorithms, human learning, leadership and management, business analysis, decision making, human resources, people management, people analysis, artificial neural networks, deep learning, business transformation, customer analysis, finance, financial accounting, marketing, probability & statistics, regulations and compliance, statistical machine learning, strategy, user experience, big data",Coursera
Business and Financial Modeling,University of Pennsylvania," business analysis, data analysis, finance, general statistics, probability & statistics, financial analysis, statistical analysis, forecasting, mathematics, spreadsheet software, statistical tests, basic descriptive statistics, data model, mathematical theory & analysis, risk management, correlation and dependence, probability distribution, decision making, investment management, accounting, leadership and management, regression, financial accounting, microsoft excel, performance management, cash management, general accounting, computer programming",Coursera
Foundations of User Experience (UX) Design,Google," user experience, user experience design, user research, product development",Coursera
Google Business Intelligence,Google," business intelligence, data analysis, data management, data model, data visualization, extract, transform, load, leadership and management, tableau software",Coursera
Meta Database Engineer,Meta," sql, databases, statistical programming, python programming, database design, programming principles, algorithms, computer science, big data, software testing, application development, collaboration, communication, computer programming, data analysis, data management, data model, data structures, data warehousing, database administration, database application, database theory, django (web framework), javascript, linux, problem solving, project management, software engineering, software engineering tools, tableau software, tensorflow, web development",Coursera
Project Initiation: Starting a Successful Project,Google," project management, strategy and operations, collaboration, communication, leadership and management, planning",Coursera
Ask Questions to Make Data-Driven Decisions,Google," business communication, data analysis, spreadsheet software, big data, communication, leadership and management, problem solving, small data",Coursera
Microsoft 365 Fundamentals,Microsoft," visual design, communication, microsoft excel, data visualization, interactive data visualization, spreadsheet software, computer graphics, critical thinking, data analysis, visualization (computer graphics), collaboration, user experience, computer graphic techniques, research and design, statistical visualization, user experience design, writing, basic descriptive statistics, data analysis software, graphic design, databases, general accounting, marketing design, product design, software engineering tools",Coursera
Microsoft Cybersecurity Analyst,Microsoft," cloud computing, computer architecture, data management, leadership and management, microsoft azure, network security, operating systems, system security",Coursera
Advanced Learning Algorithms,DeepLearning.AI," applied machine learning, machine learning, machine learning algorithms, algorithms, artificial neural networks, deep learning, network model, tensorflow, machine learning software, python programming",Coursera
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing," communication, sas (software), regulations and compliance, systems design, system security, network architecture, process analysis, training, decision making, operating systems",Coursera
Financial Markets,Yale University," finance, investment management, risk management, banking, behavioral economics, critical thinking, decision making, financial analysis, innovation, regulations and compliance, leadership and management",Coursera
HRCI Human Resource Associate,HRCI," benefits, compensation, employee relations, mergers & acquisitions, performance management, recruitment, risk management, training",Coursera
Excel Skills for Business,Macquarie University," spreadsheet software, business analysis, microsoft excel, data analysis, plot (graphics), data visualization, data model, databases, finance, leadership and management",Coursera
The Bits and Bytes of Computer Networking,Google," computer networking, network architecture, network model, networking hardware, network analysis, critical thinking, problem solving, computer architecture, human computer interaction, network security, cloud computing",Coursera
IBM Machine Learning,IBM," machine learning, machine learning algorithms, human learning, statistical machine learning, data analysis, probability & statistics, applied machine learning, algorithms, forecasting, statistical analysis, regression, deep learning, general statistics, python programming, machine learning software, artificial neural networks, exploratory data analysis, feature engineering, correlation and dependence, dimensionality reduction, statistical tests, probability distribution, reinforcement learning, basic descriptive statistics, network model, tensorflow",Coursera
Indigenous Canada,University of Alberta, critical thinking,Coursera
Connect and Protect: Networks and Network Security,Google," network security, cloud computing, network architecture",Coursera
Preparing for Google Cloud Certification: Cloud Architect,Google Cloud," google cloud platform, cloud computing, cloud applications, cloud engineering, cloud platforms, cloud infrastructure, cloud management, cloud storage, other cloud platforms and tools, cloud-based integration, computer networking, devops, google app engine, computer architecture, cross platform development, kubernetes, billing & invoicing, computer security models, critical thinking, network architecture, network analysis, computer programming, operational analysis, software testing, leadership and management",Coursera
Neural Networks and Deep Learning,DeepLearning.AI," artificial neural networks, deep learning, machine learning, machine learning algorithms, python programming, computational logic, computer programming, network architecture, network model, calculus, human learning, regression, mathematics",Coursera
Business Analytics,University of Pennsylvania," data analysis, business analysis, probability & statistics, statistical analysis, leadership and management, strategy and operations, basic descriptive statistics, exploratory data analysis, financial analysis, forecasting, data model, mathematics, performance management, strategy, accounting, customer analysis, human resources, human resources operations, market analysis, market research, marketing, mathematical theory & analysis, operations management, operations research, organizational development, people analysis, people management, spreadsheet software, talent management, financial accounting, collaboration, finance, regulations and compliance",Coursera
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud," cloud computing, google cloud platform, cloud platforms, cloud applications, cloud engineering, cloud storage, cloud infrastructure, cloud management, computer networking, cloud-based integration, computer architecture, google app engine, other cloud platforms and tools, cross platform development, devops, kubernetes, network architecture, computer programming, billing & invoicing, data analysis, leadership and management",Coursera
IBM Introduction to Machine Learning,IBM," machine learning, machine learning algorithms, algorithms, statistical machine learning, human learning, probability & statistics, applied machine learning, data analysis, regression, general statistics, python programming, feature engineering, machine learning software, exploratory data analysis, dimensionality reduction, statistical analysis, probability distribution, statistical tests, basic descriptive statistics",Coursera
Modern Project Management,SkillUp EdTech," business analysis, communication, leadership and management, project management, risk management",Coursera
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud," machine learning, google cloud platform, applied machine learning, cloud computing, human learning, machine learning software, cloud platforms, machine learning algorithms, tensorflow, deep learning, feature engineering, artificial neural networks, training, devops, exploratory data analysis, python programming, cloud-based integration, data analysis, data visualization, big data, probability & statistics, regression, statistical programming, statistical visualization, algorithms, continuous integration, sql, cloud api, apache, extract, transform, load, docker (software)",Coursera
Architecting with Google Compute Engine,Google Cloud," cloud applications, cloud computing, google cloud platform, cloud infrastructure, cloud platforms, cloud management, other cloud platforms and tools, cloud engineering, cloud storage, cloud-based integration, computer networking, devops, google app engine, network architecture, computer programming, kubernetes, leadership and management",Coursera
SAP Technology Consultant,SAP," leadership and management, strategy and operations, cloud-based integration, business analysis, business transformation, business process management, cloud applications, strategy, customer analysis, planning, project management, business intelligence, software as a service, supply chain and logistics, cloud standards, cloud computing, network architecture, software architecture, system software, communication",Coursera
"JavaScript Programming with React, Node & MongoDB",IBM," javascript, computer programming, web development, computer science, front-end web development, nosql, react (web framework)",Coursera
Digital Product Management,University of Virginia," agile software development, product management, leadership and management, design and product, software engineering, product development, project management, user experience, customer analysis, product design, user research, data analysis, communication, continuous delivery, people analysis, planning, product strategy, strategy",Coursera
Graphic Design,California Institute of the Arts," graphic design, visual design, communication, computer graphic techniques, computer graphics, creativity, graph theory, visualization (computer graphics), geometry, interactive design",Coursera
"Python for Data Science, AI & Development",IBM," python programming, computer programming, data analysis",Coursera
AWS Cloud Solutions Architect,Amazon Web Services," amazon web services, cloud computing, cloud storage, data management, big data, cloud applications, cloud engineering, cloud platforms, data analysis, data warehousing, extract, transform, load, cloud management, data architecture, cloud infrastructure, data visualization, database design, other cloud platforms and tools, software architecture, leadership and management, machine learning",Coursera
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud," cloud computing, google cloud platform, cloud platforms, cloud engineering, cloud infrastructure, network security, computer networking, computer security models, cloud applications, cloud management, cloud storage, network architecture, software security, system security, other cloud platforms and tools, security engineering, security strategy, google app engine, network model, computer security incident management, devops, software-defined networking, security software, kubernetes, leadership and management",Coursera
AWS Cloud Technology Consultant,Amazon Web Services," amazon web services, cloud api, cloud computing, cloud infrastructure, cloud storage, continuous integration, customer support, data analysis, data architecture, devops, information technology, leadership and management, project management, python programming, software architecture, software testing, strategy, web development",Coursera
Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud," cloud computing, google cloud platform, cloud platforms, big data, data management, data analysis, data analysis software, databases, computer networking, applied machine learning, data warehousing, machine learning, sql, communication, cloud storage, data architecture, human learning, machine learning algorithms, machine learning software, algorithms, cloud applications, cloud infrastructure, distributed computing architecture, business analysis, leadership and management, problem solving, apache, python programming, warehouse management, feature engineering, statistical programming, tensorflow",Coursera
